,name,price,market_cap,volume,coin_supply
0,Bitcoin,"$29,885.41","$581,365,949,731","$16,119,813,387","19,451,593 BTC"
1,Ethereum,"$1,860.59","$223,600,037,191","$5,471,796,225","120,159,238 ETH"
2,Tether USDt,$0.9998,"$83,566,053,521","$24,320,518,327","83,578,639,640 USDT"
3,BNB,$246.37,"$37,915,227,673","$480,450,782","153,853,663 BNB"
4,XRP,$0.6362,"$33,600,569,646","$1,229,089,782","52,741,286,353 XRP"
5,USD Coin,$1.00,"$26,199,326,330","$3,191,154,424","26,192,212,831 USDC"
6,Dogecoin,$0.0748,"$10,510,105,891","$296,763,426","140,509,066,384 DOGE"
7,Cardano,$0.2999,"$10,499,814,257","$300,461,116","35,027,690,391 ADA"
8,Solana,$24.47,"$9,952,605,373","$438,382,534","405,746,918 SOL"
9,TRON,$0.07677,"$6,874,999,860","$169,528,778","89,528,742,116 TRX"
10,Polygon,$0.6894,"$6,433,398,295","$314,141,151","9,319,469,069 MATIC"
11,Litecoin,$84.31,"$6,201,984,638","$450,006,038","73,519,602 LTC"
12,Polkadot,$5.05,"$6,132,279,260","$90,071,861","1,213,573,810 DOT"
13,Shiba Inu,$0.00000939,"$5,529,565,556","$309,051,732","589,346,914,631,298 SHIB"
14,Dai,$1.00,"$4,957,461,641","$153,116,295","4,955,617,823 DAI"
15,Wrapped Bitcoin,"$29,837.45","$4,839,408,737","$144,761,498","162,205 WBTC"
16,Bitcoin Cash,$239.16,"$4,653,548,939","$442,299,375","19,470,863 BCH"
17,Avalanche,$12.68,"$4,389,400,932","$116,454,474","346,353,516 AVAX"
18,Toncoin,$1.27,"$4,372,654,629","$27,230,997","3,431,892,088 TON"
19,Chainlink,$7.37,"$3,958,994,848","$255,311,684","538,099,970 LINK"
20,Stellar,$0.1418,"$3,880,083,543","$131,380,783","27,357,752,426 XLM"
21,UNUS SED LEO,$4.05,"$3,748,945,230","$1,095,585","929,671,880 LEO"
22,Uniswap,$6.10,"$3,524,486,358","$83,956,393","577,501,036 UNI"
23,Binance USD,$1.00,"$3,398,051,523","$1,492,263,403","3,393,563,657 BUSD"
24,TrueUSD,$1.00,"$2,995,324,735","$2,529,969,282","2,993,074,781 TUSD"
25,Cosmos,$8.58,"$2,974,965,351","$80,836,381","346,608,690 ATOM"
26,Monero,$159.23,"$2,917,096,802","$81,373,611","18,315,815 XMR"
27,OKB,$46.56,"$2,783,654,375","$4,810,860","60,000,000 OKB"
28,Ethereum Classic,$17.96,"$2,557,450,957","$105,070,048","142,382,566 ETC"
29,Hedera,$0.06054,"$1,970,999,606","$153,980,939","32,559,526,344 HBAR"
30,Internet Computer,$4.14,"$1,824,977,304","$21,207,376","440,905,356 ICP"
