,temperature,feels_like,wind_speed,wind_direction,humidity,dew_point,visibility,probability_of_rain,amount_of_rain
0,27 °C,29 °C,23 km/h,E,66%,20 °C,12 km,1%,-
1,31 °C,33 °C,25 km/h,S,48%,19 °C,13 km,0%,
2,28 °C,32 °C,6 km/h,E,73%,23 °C,6 km,27%,4.9  mm
3,30 °C,34 °C,15 km/h,S,66%,23 °C,10 km,22%,0.3  mm
4,27 °C,29 °C,15 km/h,E,72%,22 °C,10 km,37%,0.8  mm
5,32 °C,38 °C,4 km/h,W,64%,24 °C,11 km,4%,0.3  mm
6,31 °C,36 °C,23 km/h,W,68%,24 °C,11 km,1%,-
7,30 °C,36 °C,12 km/h,S,68%,24 °C,11 km,32%,1.0  mm
8,32 °C,34 °C,4 km/h,S,47%,20 °C,12 km,3%,
9,31 °C,35 °C,9 km/h,E,62%,23 °C,11 km,5%,0.4  mm
10,33 °C,35 °C,4 km/h,E,45%,20 °C,13 km,0%,
11,29 °C,34 °C,9 km/h,E,73%,24 °C,10 km,2%,0.3  mm
12,29 °C,31 °C,13 km/h,N,55%,19 °C,12 km,5%,0.1  mm
13,29 °C,29 °C,22 km/h,E,46%,16 °C,13 km,2%,
14,31 °C,35 °C,6 km/h,S,63%,23 °C,11 km,5%,-
15,33 °C,36 °C,8 km/h,S,47%,20 °C,12 km,0%,
16,31 °C,34 °C,11 km/h,W,58%,22 °C,11 km,0%,
17,31 °C,34 °C,18 km/h,N,58%,22 °C,13 km,0%,
18,30 °C,36 °C,13 km/h,S,68%,24 °C,6 km,24%,3.7  mm
19,30 °C,31 °C,5 km/h,W,48%,18 °C,12 km,1%,
20,28 °C,31 °C,26 km/h,E,71%,22 °C,12 km,4%,-
21,32 °C,36 °C,16 km/h,N,53%,22 °C,12 km,5%,-
22,32 °C,37 °C,8 km/h,N,58%,23 °C,11 km,2%,-
23,30 °C,35 °C,14 km/h,N,65%,23 °C,11 km,5%,-
24,30 °C,36 °C,15 km/h,S,74%,25 °C,7 km,13%,0.7  mm
25,30 °C,35 °C,10 km/h,E,66%,23 °C,10 km,20%,0.2  mm
26,29 °C,31 °C,6 km/h,N,63%,21 °C,11 km,5%,
27,30 °C,33 °C,13 km/h,N,60%,22 °C,11 km,0%,-
28,29 °C,31 °C,4 km/h,S,57%,20 °C,12 km,0%,
29,29 °C,33 °C,22 km/h,S,69%,23 °C,11 km,21%,0.6  mm
30,28 °C,33 °C,6 km/h,S,80%,24 °C,4 km,31%,6.9  mm
31,31 °C,37 °C,7 km/h,N,69%,25 °C,7 km,44%,2.7  mm
32,31 °C,33 °C,8 km/h,E,49%,19 °C,13 km,0%,-
33,31 °C,34 °C,18 km/h,N,57%,22 °C,12 km,0%,
34,28 °C,31 °C,24 km/h,E,69%,22 °C,12 km,1%,-
35,34 °C,34 °C,2 km/h,E,34%,16 °C,14 km,0%,-
36,28 °C,31 °C,24 km/h,E,69%,22 °C,12 km,1%,-
37,28 °C,33 °C,6 km/h,S,80%,24 °C,4 km,31%,6.9  mm
38,30 °C,36 °C,16 km/h,S,68%,24 °C,7 km,26%,2.1  mm
39,28 °C,30 °C,11 km/h,S,63%,20 °C,12 km,1%,
40,34 °C,37 °C,10 km/h,E,46%,20 °C,11 km,0%,
41,28 °C,29 °C,12 km/h,S,60%,20 °C,12 km,5%,-
42,32 °C,37 °C,15 km/h,S,60%,23 °C,11 km,1%,-
43,30 °C,36 °C,11 km/h,W,71%,24 °C,10 km,19%,0.4  mm
44,30 °C,34 °C,16 km/h,N,64%,23 °C,12 km,5%,-
45,31 °C,35 °C,19 km/h,N,59%,22 °C,11 km,0%,-
46,32 °C,35 °C,18 km/h,E,53%,21 °C,12 km,3%,
47,29 °C,33 °C,22 km/h,S,69%,23 °C,11 km,21%,0.6  mm
48,33 °C,37 °C,4 km/h,S,49%,21 °C,11 km,5%,0.3  mm
49,29 °C,32 °C,13 km/h,N,65%,22 °C,11 km,5%,-
50,28 °C,31 °C,24 km/h,E,69%,22 °C,12 km,1%,-
51,30 °C,34 °C,8 km/h,N,69%,23 °C,10 km,1%,-
52,30 °C,36 °C,5 km/h,S,72%,24 °C,7 km,59%,1.8  mm
53,31 °C,33 °C,21 km/h,S,49%,19 °C,13 km,0%,
